area,rooms,price
1968,4,272200
1228,3,168000
2213,3,283300
2317,3,317800
727,1,113000
1084,1,159700
1870,5,285400
1626,3,219600
1791,3,262600
1331,3,203700
2284,3,273100
2228,4,333800
1836,3,239900
2420,4,286800
2057,4,260300
1327,2,164500
2003,4,278500
1273,2,175000
2283,4,300700
1773,4,265700
1698,2,235300
1425,2,204700
2472,5,345900
1715,3,251200
1564,4,182700
1606,2,209600
2093,5,247300
2001,3,269900
2027,4,279900
2037,4,304100
2978,5,418700
1576,2,218800
1518,2,197000
1352,3,208400
2139,2,264700
2421,4,323300
1737,3,261800
1338,3,183900
1347,1,198900
2158,3,301300
2209,3,271000
2099,3,301300
1434,3,222100
1928,3,263300
1864,3,237300
1920,3,241300
2279,4,295900
1923,2,264500
2173,4,275000
1837,4,268700
1959,4,245200
2147,4,288700
999,2,153300
1624,4,289400
1541,3,188200
1449,2,232800
1649,2,225700
2622,4,354500
1324,1,181200
2333,3,315400
874,1,125800
1616,3,258700
1890,3,246900
2122,3,307300
2191,4,283800
2236,4,301600
1608,3,202300
1546,2,221100
2272,4,338700
1695,3,233700
1098,1,149400
1177,2,145900
1294,2,178300
2073,3,242000
1878,3,235500
2180,3,293800
1565,4,258200
1887,4,326400
2144,3,271900
1630,3,259900
2051,2,272000
1436,2,195600
1600,2,226500
1590,2,217300
1142,2,169000
2068,5,283500
1542,2,179900
1807,2,205800
2064,4,298400
2046,5,284000
2166,3,274100
1746,3,241200
1567,4,246900
1756,2,238100
872,1,114500
1004,1,170400
1073,1,185800
1252,3,197600
2020,4,300600
1302,1,203500
1592,3,249000
2515,4,347200
1604,4,246600
2206,3,303100
1287,2,158400
1687,3,250000
1277,3,159600
1614,3,209100
2262,3,326500
850,2,153000
2039,3,306000
1931,3,255400
1473,1,169700
1005,2,146300
1840,3,253600
1509,2,208700
1928,4,294000
1812,3,240400
2681,4,359700
1668,4,218700
1237,2,187000
1899,3,258000
1921,3,243800
2548,4,332100
2259,4,301400
1996,3,262600
2605,4,382500
1146,3,172900
1448,2,194900
1290,1,128800
1586,4,211800
1043,4,165900
2149,3,270300
1678,1,248000
991,1,138400
1241,2,205900
1972,3,267300
2261,3,298500
2898,5,381800
3403,6,447400
2028,2,301900
1256,3,136100
627,2,65900
1947,3,251200
1353,2,190100
1572,3,237100
1463,3,220300
1723,2,222100
2386,4,341900
1886,3,279100
1713,4,249500
1230,2,197500
879,3,151700
1533,2,197300
1770,3,259100
2772,5,372400
1872,3,254900
2341,4,346900
1525,3,162800
1148,2,136100
1269,1,146500
1401,2,187100
2971,4,378200
1348,2,156100
2261,4,284000
1303,1,157400
2312,3,357400
2012,4,318000
1714,2,220500
1778,1,220600
1440,3,182100
2045,4,240000
1550,2,208900
1126,1,134900
1097,2,159800
1895,3,222200
2669,6,349800
1888,3,259900
1735,3,247900
1957,3,273500
2518,5,312900
1921,4,287100
1574,3,204500
2408,4,335800
2036,3,272700
2645,4,317700
1901,4,259200
1127,3,181000
1048,1,161800
2708,4,351800
2748,5,401000
1701,3,258300
1589,3,218100
2604,3,351900
1191,1,206600
1308,2,228000
2154,2,250900
1583,2,194700
1797,2,271300
1710,3,213800
1986,4,246400
2574,4,329400
1850,2,253700
2154,4,291700
672,2,100600
1773,2,221200
1336,2,172300
1130,2,146000
1317,2,236100
1616,3,233300
2304,4,329900
1070,2,147900
1817,2,236800
1534,3,202000
1620,3,168900
2352,3,277400
2096,2,231700
2536,5,294500
1715,3,211400
1417,2,226000
1677,3,232500
1933,4,298000
1897,2,258700
1204,1,182700
1850,2,224700
1926,4,280400
3185,6,439400
2832,5,363800
1331,1,191700
1642,2,234100
995,2,138400
1475,2,178500
1974,4,248100
2463,4,329800
1399,3,210100
1440,3,190000
619,2,109700
1711,3,249800
1216,1,180400
1509,1,233100
1318,3,222100
1748,4,227300
833,1,161700
993,1,130500
2971,5,414800
1092,2,162600
1197,3,171600
2810,5,334300
3398,5,435000
1156,1,125900
1597,3,246000
1988,3,301000
2751,4,342100
1257,4,201900
1665,4,224200
2228,5,296300
2039,3,290300
1593,3,223400
1726,3,277100
1044,2,145200
1669,4,262600
1653,3,233000
1928,4,286600
1495,3,203600
2059,4,282400
2357,3,305700
1885,3,238000
1993,3,282800
1829,2,256500
1800,4,268100
1403,4,245100
1974,4,306000
1746,3,232800
2951,6,405800
2665,4,336400
2012,3,270800
1380,2,179600
1188,2,207300
2455,4,335100
1945,2,250200
2064,3,302300
840,1,77600
2310,5,274800
2050,4,300000
1189,2,173100
1541,3,224000
1945,3,233800
1829,3,249700
1639,2,265400
1743,3,258900
1661,2,227400
1884,2,238600
2609,5,343300
500,1,41200
1670,2,230400
1897,3,276300
1963,4,238300
1595,3,209900
834,2,107300
